Jogador,MINS,PTS,FGA,FTA,DR,OR,AST,TO,STL,BLK,PF,FPG,FPM,Contract,Duration
Nikola Jokic,36.35,27.52,18.78,5.70,8.39,3.09,8.48,3.61,1.61,0.65,3.04,36.10,0.99," $25,000,000","3 anos
36.10FPG "
Luka Doncic,35.17,27.79,20.96,8.04,7.79,0.92,9.29,4.21,1.04,0.63,1.96,32.30,0.92," $5,000,000","2 anos
32.30FPG "
Joel Embiid,32.37,29.32,16.79,11.26,8.95,1.74,2.68,3.32,1.32,1.21,2.37,32.15,0.99," $18,000,000","2 anos
32.15FPG "
Giannis Antetokounmpo,32.96,27.26,18.04,9.74,9.39,1.70,5.57,3.65,0.96,1.26,3.04,31.67,0.96," $25,000,000","1 anos
31.67FPG "
Karl Anthony Towns,33.00,22.00,15.75,6.25,8.50,4.00,4.25,2.50,0.50,2.75,2.75,31.10,0.94," $18,000,000","3 anos
31.10FPG "
James Harden,38.11,24.11,15.84,7.26,6.00,0.79,11.21,4.11,1.00,0.58,2.37,30.61,0.80," $25,000,000","2 anos
30.61FPG "
LeBron James,34.56,25.56,18.84,5.76,7.32,0.60,7.92,3.68,1.04,0.52,1.56,30.46,0.88," $25,000,000","4 anos
30.46FPG "
Kevin Durant,36.11,29.50,18.89,7.83,7.06,0.39,5.17,3.50,0.78,1.39,2.39,30.31,0.84," $25,000,000","4 anos
30.31FPG "
Damian Lillard,36.15,28.95,19.55,7.35,4.20,0.45,7.30,3.05,1.05,0.25,1.35,29.31,0.81," $25,000,000","3 anos
29.31FPG "
Kawhi Leonard,34.62,26.00,18.62,6.10,4.90,0.86,5.10,1.76,1.76,0.62,1.57,28.71,0.83," $25,000,000","3 anos
28.71FPG "
Nikola Vucevic,33.25,23.13,19.42,2.17,9.13,2.25,3.42,1.67,1.04,0.54,1.75,28.63,0.86," $18,500,000","3 anos
28.63FPG "
Stephen Curry,34.08,29.54,20.13,5.50,4.96,0.50,6.08,3.25,1.21,0.08,2.04,28.58,0.84," $23,500,000","1 anos
28.58FPG "
